nom,nombinomial,ordre,classe,urlImage
Grèbe castagneux,Tachybaptus ruficollis,Podicipediformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Little_grebe_Zwergtaucher.jpg/290px-Little_grebe_Zwergtaucher.jpg
Grèbe huppé,Podiceps cristatus,Podicipediformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Podiceps_cristatus_5_%28Marek_Szczepanek%29.jpg/290px-Podiceps_cristatus_5_%28Marek_Szczepanek%29.jpg
Butor étoilé,Botaurus stellaris,Pelecaniformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Botaurus_stellaris_%28Marek_Szczepanek%29.jpg/290px-Botaurus_stellaris_%28Marek_Szczepanek%29.jpg
Blongios nain,Ixobrychus minutus,Pelecaniformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/47-090506-little-bittern-at-upper-ford-near-Sigri-.jpg/290px-47-090506-little-bittern-at-upper-ford-near-Sigri-.jpg
Héron cendré,Ardea cinerea,Pelecaniformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Ardea_cinerea_-_Pak_Thale.jpg/290px-Ardea_cinerea_-_Pak_Thale.jpg
Oie cendrée,Anser anser,Anseriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Greylag_Goose_-_St_James%27s_Park%2C_London_-_Nov_2006.jpg/290px-Greylag_Goose_-_St_James%27s_Park%2C_London_-_Nov_2006.jpg
Canard chipeau,Anas strepera,Anseriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Anas_strepera_pair.jpg/290px-Anas_strepera_pair.jpg
Sarcelle d'hiver,Anas crecca,Anseriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Sarcelleh_1.jpg/290px-Sarcelleh_1.jpg
Canard souchet,Anas clypeata,Anseriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Northern_Shoveler_Anas_clypeata.jpg/290px-Northern_Shoveler_Anas_clypeata.jpg
Fuligule milouin,Aythya ferina,Anseriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Male_pochard_reflection_in_evening.jpg/290px-Male_pochard_reflection_in_evening.jpg
Fuligule morillon,Aythya fuligula,Anseriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Tufted-Duck-male-female.jpg/290px-Tufted-Duck-male-female.jpg
Busard des roseaux,Circus aeruginosus,Accipitriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Blotniak_stawowy_Circus_aeruginosis.jpg/290px-Blotniak_stawowy_Circus_aeruginosis.jpg
Épervier d'Europe,Accipiter nisus,Accipitriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Accipiter_nisus_Meneer_Zjeroen.jpg/290px-Accipiter_nisus_Meneer_Zjeroen.jpg
Balbuzard pêcheur,Pandion haliaetus,Accipitriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/2010-kabini-osprey.jpg/290px-2010-kabini-osprey.jpg
Faucon crécerelle,Falco tinnunculus,Falconiformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Common_kestrel_falco_tinnunculus.jpg/290px-Common_kestrel_falco_tinnunculus.jpg
Râle d'eau,Rallus aquaticus,Gruiformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Ralaqu.jpg/290px-Ralaqu.jpg
Avocette élégante,Recurvirostra avosetta,Charadriiformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Recurvirostra_avosetta_-_Zoo_Frankfurt_4.jpg/290px-Recurvirostra_avosetta_-_Zoo_Frankfurt_4.jpg
Combattant varié,Philomachus pugnax,Charadriiformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Ruff_%28Philomachus_pugnax%29_near_Hodal_W_IMG_6534.jpg/290px-Ruff_%28Philomachus_pugnax%29_near_Hodal_W_IMG_6534.jpg
Bécassine des marais,Gallinago gallinago,Charadriiformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Galgal.jpg/290px-Galgal.jpg
Barge à queue noire,Limosa limosa,Charadriiformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Black-tailed_Godwit_Uferschnepfe.jpg/290px-Black-tailed_Godwit_Uferschnepfe.jpg
Chevalier gambette,Tringa totanus,Charadriiformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Tringa_totanus_5.jpg/290px-Tringa_totanus_5.jpg
Mouette rieuse,Larus ridibundus,Charadriiformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Mouette_rieuse_by_M._Riegler.jpg/290px-Mouette_rieuse_by_M._Riegler.jpg
Guifette noire,Chlidonias niger,Charadriiformes,Aves,http://upload.wikimedia.org/wikipedia/commons/d/d4/Chlidonias_niger.jpg
Martin-pêcheur d'Europe,Alcedo atthis,Coraciiformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Common_Kingfisher_Alcedo_atthis.jpg/290px-Common_Kingfisher_Alcedo_atthis.jpg
Merle à plastron,Turdus torquatus,Passeriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Turdus_torquatus_1.jpg/290px-Turdus_torquatus_1.jpg
Grive litorne,Turdus pilaris,Passeriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Turdus_pilaris.jpg/290px-Turdus_pilaris.jpg
Bouscarle de Cetti,Cettia cetti,Passeriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/37-090505-cettis-warbler-at-Kalloni-east-river.jpg/290px-37-090505-cettis-warbler-at-Kalloni-east-river.jpg
Locustelle luscinioïde,Locustella luscinioides,Passeriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Locustellaluscinioides.jpg/290px-Locustellaluscinioides.jpg
Phragmite des joncs,Acrocephalus schoenobaenus,Passeriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Acrocephalus_schoenobaenus.jpg/290px-Acrocephalus_schoenobaenus.jpg
Rousserolle turdoïde,Acrocephalus arundinaceus,Passeriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Drosselrohrs%C3%A4nger_Great_reed_warbler.jpg/290px-Drosselrohrs%C3%A4nger_Great_reed_warbler.jpg
Bihoreau gris,Nycticorax nycticorax,Pelecaniformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Nycticorax_nycticorax_5.jpg/290px-Nycticorax_nycticorax_5.jpg
Grande Aigrette,Egretta alba,Pelecaniformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/5/57/MC_Silberreiher.jpg/290px-MC_Silberreiher.jpg
Héron pourpré,Ardea purpurea,Pelecaniformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Ardpur2.jpg/290px-Ardpur2.jpg
Sarcelle d'été,Anas querquedula,Anseriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/9/92/Garganey_duck.jpg
Bondrée apivore,Pernis apivorus,Accipitriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Wespenbussard_European_honey_buzzard_Pernis_apivorus.jpg/290px-Wespenbussard_European_honey_buzzard_Pernis_apivorus.jpg
Milan noir,Milvus migrans,Accipitriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Milvus_migrans_front%28ThKraft%29.jpg/290px-Milvus_migrans_front%28ThKraft%29.jpg
Autour des palombes,Accipiter gentilis,Accipitriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Accipiter_gentilisAAP045CA.jpg/290px-Accipiter_gentilisAAP045CA.jpg
Buse variable,Buteo buteo,Accipitriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Buteo_buteo_5_%28Marek_Szczepanek%29.jpg/290px-Buteo_buteo_5_%28Marek_Szczepanek%29.jpg
Faucon émerillon,Falco columbarius,Falconiformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Falco_columbarius_Male.jpg/290px-Falco_columbarius_Male.jpg
Faucon hobereau,Falco subbuteo,Falconiformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Falco_subbuteo_NAUMANN.jpg/290px-Falco_subbuteo_NAUMANN.jpg
Bécasse des bois,Scolopax rusticola,Charadriiformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Scolopax_rusticola.jpg/290px-Scolopax_rusticola.jpg
Chevalier guignette,Actitis hypoleucos,Charadriiformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Actitis_hypoleucos_3_%28Marek_Szczepanek%29.jpg/290px-Actitis_hypoleucos_3_%28Marek_Szczepanek%29.jpg
Sterne pierregarin,Sterna hirundo,Charadriiformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Common-Tern.jpg/290px-Common-Tern.jpg
Hibou moyen-duc,Asio otus,Strigiformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Long-eared_Owl-Mindaugas_Urbonas-1.jpg/290px-Long-eared_Owl-Mindaugas_Urbonas-1.jpg
Guêpier d'Europe,Merops apiaster,Coraciiformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Pair_of_Merops_apiaster_feeding.jpg/290px-Pair_of_Merops_apiaster_feeding.jpg
Pic noir,Dryocopus martius,Piciformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/BlackWoods.jpg/290px-BlackWoods.jpg
Pic épeichette,Dendrocopos minor,Piciformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/PicoidesMinorBack.jpg/290px-PicoidesMinorBack.jpg
Fauvette babillarde,Sylvia curruca,Passeriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Lesser_Whitethroat_%28Sylvia_curruca%29_%284%29.jpg/290px-Lesser_Whitethroat_%28Sylvia_curruca%29_%284%29.jpg
Aigle botté,Hieraaetus pennatus,Accipitriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Booted_Eagle_NAUMANN.jpg/290px-Booted_Eagle_NAUMANN.jpg
Engoulevent d'Europe,Caprimulgus europaeus,Caprimulgiformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/%C5%9Eivanxap%C3%AEnok.jpg/290px-%C5%9Eivanxap%C3%AEnok.jpg
Torcol fourmilier,Jynx torquilla,Piciformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Jynx_torquilla.jpg/290px-Jynx_torquilla.jpg
Pic cendré,Picus canus,Piciforme,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Picus_canus_2.jpg/290px-Picus_canus_2.jpg
Pic mar,Dendrocopos medius,Piciformes,Aves,http://upload.wikimedia.org/wikipedia/commons/d/d6/Dendrocopos_medius_%28Marek_Szczepanek%29_cut.jpg
Alouette lulu,Lullula arborea,Passeriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/9/95/Woodlark57.jpg
Pipit rousseline,Anthus campestris,Passeriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Anthus_campestris-3.jpg/290px-Anthus_campestris-3.jpg
Fauvette pitchou,Sylvia undata,Passeriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Currucarabilarga.JPG/290px-Currucarabilarga.JPG
Pie-grièche écorcheur,Lanius collurio,Passeriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/b/b0/Lanius_collurio_5.jpg
Pygargue à queue blanche,Haliaeetus albicilla,Accipitriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/White_tailed_eagle.jpg/290px-White_tailed_eagle.jpg
Busard Saint-Martin,Circus cyaneus,Accipitriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Henharrier.jpg/290px-Henharrier.jpg
Grand Cormoran,Phalacrocorax carbo,Suliformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Phalacrocorax_carbo_Vic.jpg/290px-Phalacrocorax_carbo_Vic.jpg
Cygne tuberculé,Cygnus olor,Anseriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/CygneVaires.jpg/290px-CygneVaires.jpg
Nette rousse,Netta rufina,Anseriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Netta_rufina_-Bushy_Park%2C_London%2C_England_-swimming-8.jpg/290px-Netta_rufina_-Bushy_Park%2C_London%2C_England_-swimming-8.jpg
Milan royal,Milvus milvus,Accipitriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Milvus_milvus_Jura.jpg/290px-Milvus_milvus_Jura.jpg
Busard cendré,Circus pygargus,Accipitriformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Flickr_-_don_macauley_-_Bird_015.jpg/290px-Flickr_-_don_macauley_-_Bird_015.jpg
Râle des genêts,Crex crex,Gruiformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Crex_crex00.jpg/290px-Crex_crex00.jpg
Foulque macroule,Fulica atra,Gruiformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Eurasian.coot.london.arp.jpg/290px-Eurasian.coot.london.arp.jpg
dicnème criard,Burhinus oedicnemus,Charadriiformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Burhinus_indicus%2C_central_India.jpg/290px-Burhinus_indicus%2C_central_India.jpg
Pluvier petit-gravelot,Charadrius dubius,Charadriiformes,Aves,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Chadub.jpg/290px-Chadub.jpg
