sitecode,nomEspece
FR1110025,Tachybaptus ruficollis
FR1110025,Podiceps cristatus
FR1110025,Botaurus stellaris
FR1110025,Ixobrychus minutus
FR1110025,Ardea cinerea
FR1110025,Anser anser
FR1110025,Anas strepera
FR1110025,Anas crecca
FR1110025,Anas clypeata
FR1110025,Aythya ferina
FR1110025,Aythya fuligula
FR1110025,Circus aeruginosus
FR1110025,Accipiter nisus
FR1110025,Pandion haliaetus
FR1110025,Falco tinnunculus
FR1110025,Rallus aquaticus
FR1110025,Recurvirostra avosetta
FR1110025,Philomachus pugnax
FR1110025,Gallinago gallinago
FR1110025,Limosa limosa
FR1110025,Tringa totanus
FR1110025,Larus ridibundus
FR1110025,Chlidonias niger
FR1110025,Alcedo atthis
FR1110025,Turdus torquatus
FR1110025,Turdus pilaris
FR1110025,Cettia cetti
FR1110025,Locustella luscinioides
FR1110025,Acrocephalus schoenobaenus
FR1110025,Acrocephalus arundinaceus
FR1110102,Ixobrychus minutus
FR1110102,Nycticorax nycticorax
FR1110102,Egretta alba
FR1110102,Ardea purpurea
FR1110102,Anser anser
FR1110102,Anas crecca
FR1110102,Anas querquedula
FR1110102,Aythya ferina
FR1110102,Aythya fuligula
FR1110102,Pernis apivorus
FR1110102,Milvus migrans
FR1110102,Circus aeruginosus
FR1110102,Accipiter gentilis
FR1110102,Accipiter nisus
FR1110102,Buteo buteo
FR1110102,Pandion haliaetus
FR1110102,Falco tinnunculus
FR1110102,Falco columbarius
FR1110102,Falco subbuteo
FR1110102,Rallus aquaticus
FR1110102,Gallinago gallinago
FR1110102,Scolopax rusticola
FR1110102,Actitis hypoleucos
FR1110102,Sterna hirundo
FR1110102,Asio otus
FR1110102,Alcedo atthis
FR1110102,Merops apiaster
FR1110102,Dryocopus martius
FR1110102,Dendrocopos minor
FR1110102,Cettia cetti
FR1110102,Locustella luscinioides
FR1110102,Acrocephalus schoenobaenus
FR1110102,Sylvia curruca
FR1110795,Botaurus stellaris
FR1110795,Ixobrychus minutus
FR1110795,Nycticorax nycticorax
FR1110795,Pernis apivorus
FR1110795,Circus aeruginosus
FR1110795,Accipiter gentilis
FR1110795,Accipiter nisus
FR1110795,Buteo buteo
FR1110795,Hieraaetus pennatus
FR1110795,Pandion haliaetus
FR1110795,Falco tinnunculus
FR1110795,Falco subbuteo
FR1110795,Gallinago gallinago
FR1110795,Scolopax rusticola
FR1110795,Sterna hirundo
FR1110795,Caprimulgus europaeus
FR1110795,Alcedo atthis
FR1110795,Merops apiaster
FR1110795,Jynx torquilla
FR1110795,Picus canus
FR1110795,Dryocopus martius
FR1110795,Dendrocopos medius
FR1110795,Lullula arborea
FR1110795,Anthus campestris
FR1110795,Turdus torquatus
FR1110795,Turdus pilaris
FR1110795,Acrocephalus arundinaceus
FR1110795,Sylvia undata
FR1110795,Lanius collurio
FR1112001,Nycticorax nycticorax
FR1112001,Ardea cinerea
FR1112001,Anas crecca
FR1112001,Aythya ferina
FR1112001,Pernis apivorus
FR1112001,Milvus migrans
FR1112001,Haliaeetus albicilla
FR1112001,Circus cyaneus
FR1112001,Accipiter gentilis
FR1112001,Accipiter nisus
FR1112001,Buteo buteo
FR1112001,Pandion haliaetus
FR1112001,Alcedo atthis
FR1112001,Jynx torquilla
FR1112001,Picus canus
FR1112001,Dryocopus martius
FR1112001,Dendrocopos medius
FR1112002,Tachybaptus ruficollis
FR1112002,Podiceps cristatus
FR1112002,Phalacrocorax carbo
FR1112002,Botaurus stellaris
FR1112002,Ixobrychus minutus
FR1112002,Nycticorax nycticorax
FR1112002,Ardea cinerea
FR1112002,Cygnus olor
FR1112002,Netta rufina
FR1112002,Aythya ferina
FR1112002,Aythya fuligula
FR1112002,Pernis apivorus
FR1112002,Milvus migrans
FR1112002,Milvus milvus
FR1112002,Circus aeruginosus
FR1112002,Circus cyaneus
FR1112002,Circus pygargus
FR1112002,Accipiter gentilis
FR1112002,Accipiter nisus
FR1112002,Buteo buteo
FR1112002,Pandion haliaetus
FR1112002,Falco tinnunculus
